	#	FORM	LEMMA	GRAM	COMMENT	CHECKED	RIGHT1	RIGHT2	RIGHT3	RIGHT4	RIGHT5	RIGHT6	POS	AUTO_LEMMA	AUTO_GRAM	
33099	9	книжку	 Ќ»∆ ј	S f inan acc sg			у	к	ж	и	н	к	S	 Ќ»∆ ј	S f inan acc sg	
33100	10	художественную	’”ƒќ∆≈—“¬≈ЌЌџ…	A - acc sg plen f -			ю	у	н	н	е	в	A	’”ƒќ∆≈—“¬≈ЌЌџ…	A - acc sg plen f -	
33101	11	открываешь	ќ“ –џ¬ј“№	V ipf praes sg indic act 2p			ь	ш	е	а	в	ы	V	ќ“ –џ¬ј“№	V ipf praes sg indic - 2p	
33102	12	,	,	PUNC									PUNC	,	PUNC	
33103	13	и	»	CONJ			и						CONJ	»	CONJ	87
33104	14	огромное	ќ√–ќћЌџ…	A - nom sg plen n -			е	о	н	м	о	р	A	ќ√–ќћЌџ…	A - nom sg plen n -	
33105	15	количество	 ќЋ»„≈—“¬ќ	S acc sg n inan			о	в	т	с	е	ч	S	 ќЋ»„≈—“¬ќ	S n inan nom sg	11
33106	16	стилистических	—“»Ћ»—“»„≈— »…	A - gen pl plen - -			х	и	к	с	е	ч	A	—“»Ћ»—“»„≈— »…	A - gen pl plen - -	
33107	17	и	»	CONJ			и						CONJ	»	CONJ	
33108	18	грамматических	√–јћћј“»„≈— »…	A - gen pl plen - -			х	и	к	с	е	ч	A	√–јћћј“»„≈— »…	A - gen pl plen - -	
33109	19	ошибок	ќЎ»Ѕ ј	S f inan gen pl			к	о	б	и	ш	о	S	ќЎ»Ѕ ј	S f inan gen pl	
33110	20	.	.	SENT									SENT	.	SENT	
33111																
33112	1	¬ообще	¬ќќЅў≈	ADV -			е	щ	б	о	о	в	ADV	¬ќќЅў≈	ADV -	
33113	2	у	”	PR			у						PR	”	PR	
33114	3	нас	ћџ	SPRO pl 1p - gen			с	а	н				SPRO	ћџ	SPRO pl 1p - loc	
33115	4	есть	Ѕџ“№	V ipf praes sg indic - 3p			ь	т	с	е			V	Ѕџ“№	V ipf praes sg indic - 3p	
33116	5	редакторы	–≈ƒј “ќ–	S m anim nom pl			ы	р	о	т	к	а	S	–≈ƒј “ќ–	S m anim nom pl	
33117	6	или	»Ћ»	CONJ			и	л	и				CONJ	»Ћ»	CONJ	
33118	7	их	ќЌ»	SPRO gen pl anim - -			х	и					A	»’	A - nonflex nonflex plen - -	
33119	8	все-таки	¬—≈-“ј »	PART			и	к	а	т		е	PART	¬—≈-“ј »	PART	
33120	9	нет	Ќ≈“	PRAEDIC -			т	е	н				PART	Ќ≈“	PART	13
33121	10	?	?	SENT									SENT	?	SENT	
33122																
33123	1	»	»	CONJ			и						CONJ	»	CONJ	
33124	2	готовит	√ќ“ќ¬»“№	V ipf praes sg indic - 3p			т	и	в	о	т	о	V	√ќ“ќ¬»“№	V ipf praes sg indic - 3p	
33125	3	ли	Ћ»	PART			и	л					PART	Ћ»	PART	
33126	4	их	ќЌ»	SPRO pl - - acc			х	и					SPRO	ќЌ»	SPRO pl - - acc	
33127	5	какой-то	 ј ќ…-“ќ	APRO - nom sg plen m -			о	т		й	о	к	A	 ј ќ…-“ќ	A - nom sg plen m -	
33128	6	институт	»Ќ—“»“”“	S m inan nom sg			т	у	т	и	т	с	S	»Ќ—“»“”“	S m inan nom sg	
33129	7	,	,	PUNC									PUNC	,	PUNC	
33130	8	как	 ј 	CONJ			к	а	к				CONJ	 ј 	CONJ	
33131	9	это	Ё“ќ	SPRO n - nom sg			о	т	э				S	Ё“ќ	S n - nom sg	47
33132	10	делалось	ƒ≈Ћј“№—я	V ipf praet pass sg indic n -			ь	с	о	л	а	л	V	ƒ≈Ћј“№—я	V ipf praet sg indic n -	
33133	11	раньше	–јЌќ	ADV comp			е	ш	ь	н	а	р	ADV	–јЌќ	ADV comp	26
33134	12	?	?	SENT									SENT	?	SENT	
33135																
33136	1	я	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33137	2	думаю	ƒ”ћј“№	V ipf praes sg indic - 1p			ю	а	м	у	д		V	ƒ”ћј“№	V ipf praes sg indic - 1p	
33138	3	,	,	PUNC									PUNC	,	PUNC	
33139	4	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33140	5	,	,	PUNC									PUNC	,	PUNC	
33141	6	наверное	Ќј¬≈–Ќќ≈	ADV -			е	о	н	р	е	в	ADV	Ќј¬≈–Ќќ≈	ADV -	
33142	7	,	,	PUNC									PUNC	,	PUNC	
33143	8	уже	”∆≈	ADV -			е	ж	у				ADV	”∆≈	ADV -	
33144	9	оно	ќЌќ	SPRO sg 3p n nom			о	н	о				SPRO	ќЌќ	SPRO sg 3p n nom	
33145	10	отсутствует	ќ“—”“—“¬ќ¬ј“№	V ipf praes sg indic act 3p			т	е	у	в	т	с	V	ќ“—”“—“¬ќ¬ј“№	V ipf praes sg indic - 3p	
33146	11	,	,	PUNC									PUNC	,	PUNC	
33147	12	напрочь	Ќјѕ–ќ„№	ADV -			ь	ч	о	р	п	а	ADV	Ќјѕ–ќ„№	ADV -	
33148	13	,	,	PUNC									PUNC	,	PUNC	
33149	14	как	 ј 	CONJ			к	а	к				CONJ	 ј 	CONJ	
33150	15	класс	 Ћј——	S m inan nom sg			с	с	а	л	к		S	 Ћј——	S m inan nom sg	
33151	16	.	.	SENT									SENT	.	SENT	
33152																
33153	1	Ќо	Ќќ	CONJ			о	н					CONJ	Ќќ	CONJ	
33154	2	<	<	PUNC									PUNC	<	PUNC	
33155	3	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33156	4	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33157	5	=	=	PUNC									PUNC	=	PUNC	
33158	6			_											_	24
33159	7	грамотнсь	√–јћќ“Ќќ—“№	S f inan nom sg	distort		ь	с	н	т	о	м	S	√–јћќ“Ќ—№	S m anim nom sg	
33160	8			_											_	
33161	9	>	>	PUNC									PUNC	>	PUNC	
33162	10	грамотность	√–јћќ“Ќќ—“№	S f inan nom sg			ь	т	с	о	н	т	S	√–јћќ“Ќќ—“№	S f inan nom sg	
33163	11	<	<	PUNC									PUNC	<	PUNC	
33164	12	/	/	PUNC									PUNC	/	PUNC	
33165	13	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33166	14	>	>	PUNC									PUNC	>	PUNC	
33167	15	-	-	PUNC									PUNC	-	PUNC	
33168	16	это	Ё“ќ	SPRO n - nom sg			о	т	э				S	Ё“ќ	S n - nom sg	
33169	17	еще	≈ў≈	ADV -			е	щ	е				ADV	≈ў≈	ADV -	
33170	18	полбеды	ѕќЋЅ≈ƒџ	PRAEDIC -			ы	д	е	б	л	о	ADV	ѕќЋЅ≈ƒџ	ADV -	
33171	19	.	.	SENT									SENT	.	SENT	
33172																24
33173	1	ј	ј	CONJ			а						CONJ	ј	CONJ	
33174	2	когда	 ќ√ƒј	CONJ			а	д	г	о	к		CONJ	 ќ√ƒј	CONJ	
33175	3	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
33176	4	идешь	»ƒ“»	V ipf praes sg indic - 2p			ь	ш	е	д	и		V	»ƒ“»	V ipf praes sg indic - 2p	106
33177	5	по	ѕќ	PR			о	п					PR	ѕќ	PR	
33178	6	улице	”Ћ»÷ј	S f inan loc sg			е	ц	и	л	у		S	”Ћ»÷ј	S f inan loc sg	
33179	7	и	»	CONJ			и						CONJ	»	CONJ	
33180	8	слышишь	—ЋџЎј“№	V ipf praes sg indic act 2p			ь	ш	и	ш	ы	л	V	—ЋџЎј“№	V ipf praes sg indic - 2p	
33181	9	как	 ј 	CONJ			к	а	к				CONJ	 ј 	CONJ	
33182	10	говор€т	√ќ¬ќ–»“№	V ipf praes pl indic - 3p			т	€	р	о	в	о	V	√ќ¬ќ–»“№	V ipf praes pl indic - 3p	
33183	11	окружающие	ќ –”∆јёў»…	A - nom pl plen - anim			е	и	щ	ю	а	ж	A	ќ –”∆јёў»…	A - acc pl plen - inan	
33184	12	теб€	“џ	SPRO sg 2p - acc			€	б	е	т			SPRO	“џ	SPRO sg 2p - acc	
33185	13	люди	„≈Ћќ¬≈ 	S m anim nom pl			и	д	ю	л			S	„≈Ћќ¬≈ 	S m anim nom pl	
33186	14	...	...	SENT									SENT	...	SENT	
33187																
33188	1	Ёто	Ё“ќ	SPRO n - nom sg			о	т	э				S	Ё“ќ	S n - nom sg	
33189	2	катастрофа	 ј“ј—“–ќ‘ј	S f inan nom sg			а	ф	о	р	т	с	S	 ј“ј—“–ќ‘ј	S f inan nom sg	
33190	3	.	.	SENT									SENT	.	SENT	
33191																
33192	1	ћало	ћјЋќ	ADV -			о	л	а	м			ADV	ћјЋќ	ADV -	
33193	2	того	“ќ	SPRO n - gen sg			о	г	о	т			S	“ќ	S n - gen sg	
33194	3	,	,	PUNC									PUNC	,	PUNC	
33195	4	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33196	5	у...	”	PR	distort					у			PR	”...	PR	8
33197	6	э..	Ё	INTJ					э				S	Ё..	S - - nonflex nonflex	47
33198	7	у	”	PR			у						PR	”	PR	
33199	8	половины	ѕќЋќ¬»Ќј	S f inan gen sg			ы	н	и	в	о	л	S	ѕќЋќ¬»Ќј	S f inan gen sg	
33200	9	из	»«	PR			з	и					PR	»«	PR	
33201	10	русской	–”—— »…	A - gen sg plen f -			й	о	к	с	с	у	A	–”—— »…	A - gen sg plen f -	
33202	11	речи	–≈„№	S f inan gen sg			и	ч	е	р			S	–≈„№	S f inan gen sg	
33203	12	остаютс€	ќ—“ј¬ј“№—я	V ipf praes pl indic - 3p			€	с	т	ю	а	т	V	ќ—“ј¬ј“№—я	V ipf praes pl indic - 3p	
33204	13	только	“ќЋ№ ќ	PART			о	к	ь	л	о	т	PART	“ќЋ№ ќ	PART	
33205	14	местоимени€	ћ≈—“ќ»ћ≈Ќ»≈	S n inan nom pl			€	и	н	е	м	и	S	ћ≈—“ќ»ћ≈Ќ»≈	S n inan gen sg	
33206	15	,	,	PUNC									PUNC	,	PUNC	
33207	16	предлоги	ѕ–≈ƒЋќ√	S m inan nom pl			и	г	о	л	д	е	S	ѕ–≈ƒЋќ√	S m inan nom pl	
33208	17	и	»	CONJ			и						CONJ	»	CONJ	
33209	18	союзы	—ќё«	S m inan nom pl			ы	з	ю	о	с		S	—ќё«	S m inan nom pl	
33210	19	.	.	SENT									SENT	.	SENT	
33211																
33212	1	¬се	¬—≈	SPRO inan  - - nom pl			е	с	в				S	¬—≈	S - - nom pl	
33213	2	остальное	ќ—“јЋ№Ќќ≈	A n inan nom sg			е	о	н	ь	л	а	S	ќ—“јЋ№Ќќ≈	S n inan acc sg	
33214	3	,	,	PUNC									PUNC	,	PUNC	
33215	4	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
33216	5	,	,	PUNC									PUNC	,	PUNC	
33217	6	в	¬	PR			в						PR	¬	PR	
33218	7	лучшем	Ћ”„Ў»…	A supr loc sg plen m -			м	е	ш	ч	у	л	A	Ћ”„Ў»…	A supr loc sg plen m -	
33219	8	случае	—Ћ”„ј…	S m inan loc sg			е	а	ч	у	л	с	S	—Ћ”„ј…	S m inan loc sg	
33220	9	-	-	PUNC									PUNC	-	PUNC	
33221	10	русский	–”—— »…	A - nom sg plen m -			й	и	к	с	с	у	A	–”—— »…	A - nom sg plen m -	
33222	11	мат	ћј“	S m inan nom sg			т	а	м				S	ћј“	S m inan nom sg	
33223	12	,	,	PUNC									PUNC	,	PUNC	
33224	13	в	¬	PR			в						PR	¬	PR	
33225	14	худшем	’”ƒЎ»…	A supr loc sg plen m -			м	е	ш	д	у	х	A	’”ƒЎ»…	A supr loc sg plen m -	
33226	15	-	-	PUNC									PUNC	-	PUNC	
33227	16	вообще	¬ќќЅў≈	ADV -			е	щ	б	о	о	в	ADV	¬ќќЅў≈	ADV -	
33228	17	непон€тно	Ќ≈ѕќЌя“Ќќ	ADV -			о	н	т	€	н	о	ADV	Ќ≈ѕќЌя“Ќќ	ADV -	9
33229	18	что	„“ќ	SPRO n - acc sg			о	т	ч				S	„“ќ	S n - acc sg	
33230	19	.	.	SENT									SENT	.	SENT	
33231																
33232	1	 омментатор	 ќћћ≈Ќ“ј“ќ–	S m anim nom sg			р	о	т	а	т	н	S	 ќћћ≈Ќ“ј“ќ–	S m anim nom sg	
33233	2	@	@	PUNC									PUNC	@	PUNC	
33234	3	<	<	PUNC									PUNC	<	PUNC	
33235	4	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33236	5	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33237	6	=	=	PUNC									PUNC	=	PUNC	
33238	7			_											_	
33239	8	≈сь	Ѕџ“№	V ipf praes sg indic - 3p			ь	с	е				S	≈—№	S m anim nonflex nonflex	
33240	9			_											_	
33241	10	>	>	PUNC									PUNC	>	PUNC	
33242	11	≈сть	Ѕџ“№	V ipf praes sg indic - 3p			ь	т	с	е			V	Ѕџ“№	V ipf praes sg indic - 3p	6
33243	12	<	<	PUNC									PUNC	<	PUNC	
33244	13	/	/	PUNC									PUNC	/	PUNC	
33245	14	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33246	15	>	>	PUNC									PUNC	>	PUNC	
33247	16	такое	“ј ќ…	APRO - nom sg plen n inan			е	о	к	а	т		A	“ј ќ…	A - nom sg plen n -	
33248	17	...	...	SENT									SENT	...	SENT	
33249																
33250	1	≈лена	≈Ћ≈Ќј	S f anim persn nom sg			а	н	е	л	е		S	≈Ћ≈Ќј	S f anim nom sg	
33251	2	@	@	PUNC									PUNC	@	PUNC	19
33252	3	ѕоэтому...	ѕќЁ“ќћ”...	CONJ -						у	м	о	ADV	ѕќЁ“ќћ”...	ADV -	
33253	4	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
33254	5	,	,	PUNC									PUNC	,	PUNC	
33255	6	вообще	¬ќќЅў≈	ADV -			е	щ	б	о	о	в	ADV	¬ќќЅў≈	ADV -	
33256	7	стоит	—“ќ»“№	V ipf praes sg indic act 3p			т	и	о	т	с		V	—“ќя“№	V ipf praes sg indic - 3p	
33257	8	беспокоитьс€	Ѕ≈—ѕќ ќ»“№—я	V ipf - - inf - -			€	с	ь	т	и	о	V	Ѕ≈—ѕќ ќ»“№—я	V ipf - - inf - -	
33258	9	уже	”∆≈	ADV -			е	ж	у				ADV	”∆≈	ADV -	
33259	10	за	«ј	PR			а	з					PR	«ј	PR	
33260	11	сохранение	—ќ’–јЌ≈Ќ»≈	S n inan acc sg			е	и	н	е	н	а	S	—ќ’–јЌ≈Ќ»≈	S n inan acc sg	
33261	12	русского	–”—— »…	A - gen sg plen m -			о	г	о	к	с	с	A	–”—— »…	A - gen sg plen m -	
33262	13	€зыка	я«џ 	S m inan gen sg			а	к	ы	з	€		S	я«џ 	S m inan gen sg	
33263	14	,	,	PUNC									PUNC	,	PUNC	
33264	15	хот€	’ќ“я	CONJ			€	т	о	х			CONJ	’ќ“я	CONJ	
33265	16	,	,	PUNC									PUNC	,	PUNC	
33266	17	как	 ј 	CONJ			к	а	к				CONJ	 ј 	CONJ	
33267	18	говор€т	√ќ¬ќ–»“№	V ipf praes pl indic - 3p			т	€	р	о	в	о	V	√ќ¬ќ–»“№	V ipf praes pl indic - 3p	9
33268	19	,	,	PUNC									PUNC	,	PUNC	
33269	20	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33270	21	€зык	я«џ 	S m inan nom sg			к	ы	з	€			S	я«џ 	S m inan nom sg	
33271	22	-	-	PUNC									PUNC	-	PUNC	
33272	23	это	Ё“ќ	SPRO n - nom sg			о	т	э				S	Ё“ќ	S n - nom sg	
33273	24	живой	∆»¬ќ…	A - nom sg plen m -			й	о	в	и	ж		A	∆»¬ќ…	A - nom sg plen m -	
33274	25	организм	ќ–√јЌ»«ћ	S m inan nom sg			м	з	и	н	а	г	S	ќ–√јЌ»«ћ	S m inan nom sg	
33275	26	,	,	PUNC									PUNC	,	PUNC	
33276	27	который	 ќ“ќ–џ…	A - nom sg plen m -			й	ы	р	о	т	о	A	 ќ“ќ–џ…	A - nom sg plen m -	
33277	28	развиваетс€	–ј«¬»¬ј“№—я	V ipf praes sg indic act 3p			€	с	т	е	а	в	V	–ј«¬»¬ј“№—я	V ipf praes sg indic - 3p	
33278	29	,	,	PUNC									PUNC	,	PUNC	
33279	30	но	Ќќ	CONJ			о	н					CONJ	Ќќ	CONJ	
33280	31	очень	ќ„≈Ќ№	ADV -			ь	н	е	ч	о		ADV	ќ„≈Ќ№	ADV -	
33281	32	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33282	33	хочетс€	’ќ“≈“№—я	V ipf praes sg indic med -			€	с	т	е	ч	о	V	’ќ“≈“№—я	V ipf praes - indic - -	
33283	34	,	,	PUNC									PUNC	,	PUNC	
33284	35	чтобы	„“ќЅџ	CONJ			ы	б	о	т	ч		CONJ	„“ќЅџ	CONJ	
33285	36	он	ќЌ	SPRO sg 3p m nom			н	о					SPRO	ќЌ	SPRO sg 3p m nom	15
33286	37	развивалс€	–ј«¬»¬ј“№—я	V ipf praet sg indic m act			€	с	л	а	в	и	V	–ј«¬»¬ј“№—я	V ipf praet sg indic m -	
33287	38	именно	»ћ≈ЌЌќ	PART			о	н	н	е	м	и	PART	»ћ≈ЌЌќ	PART	
33288	39	в	¬	PR			в						PR	¬	PR	
33289	40	этом	Ё“ќ“	SPRO - loc sg plen n -			м	о	т	э			A	Ё“ќ“	A - loc sg plen n -	
33290	41	направлении	Ќјѕ–ј¬Ћ≈Ќ»≈	S n inan loc sg			и	и	н	е	л	в	S	Ќјѕ–ј¬Ћ≈Ќ»≈	S n inan loc sg	
33291	42	.	.	SENT									SENT	.	SENT	
33292																
33293	1	ќчень	ќ„≈Ќ№	ADV -			ь	н	е	ч	о		ADV	ќ„≈Ќ№	ADV -	
33294	2	грустно	√–”—“Ќќ	PRAEDIC -			о	н	т	с	у	р	ADV	√–”—“Ќќ	ADV -	
33295	3	,	,	PUNC									PUNC	,	PUNC	
33296	4	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33297	5	развитие	–ј«¬»“»≈	S n inan nom sg			е	и	т	и	в	з	S	–ј«¬»“»≈	S n inan nom sg	
33298	6	происходит	ѕ–ќ»—’ќƒ»“№	V ipf praes sg indic act 3p			т	и	д	о	х	с	V	ѕ–ќ»—’ќƒ»“№	V ipf praes sg indic - 3p	
33299	7	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33300	8	в	¬	PR			в						PR	¬	PR	
33301	9	стиле	—“»Ћ№	S m inan loc sg			е	л	и	т	с		S	—“»Ћ№	S m inan loc sg	
33302	10	ѕушкина	ѕ”Ў »Ќ	S m anim famn gen sg			а	н	и	к	ш	у	S	ѕ”Ў »Ќ	S m anim gen sg	
33303	11	,	,	PUNC									PUNC	,	PUNC	
33304	12	“олстого	“ќЋ—“ќ…	S m anim famn gen sg			о	г	о	т	с	л	S	“ќЋ—“ќ…	S m anim gen sg	
33305	13	,	,	PUNC									PUNC	,	PUNC	
33306	14	<	<	PUNC									PUNC	<	PUNC	
33307	15	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33308	16	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33309	17	=	=	PUNC									PUNC	=	PUNC	
33310	18			_											_	
33311	19	аа	ј	INTJ			а	а					NONLEX	јј	NONLEX	
33312	20			_											_	
33313	21	>	>	PUNC									PUNC	>	PUNC	
33314	22	а	ј	CONJ			а						CONJ	ј	CONJ	
33315	23	<	<	PUNC									PUNC	<	PUNC	
33316	24	/	/	PUNC									PUNC	/	PUNC	
33317	25	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33318	26	>	>	PUNC									PUNC	>	PUNC	
33319	27	в	¬	PR			в						PR	¬	PR	
33320	28	стиле	—“»Ћ№	S m inan loc sg			е	л	и	т	с		S	—“»Ћ№	S m inan loc sg	
33321	29	Ўарикова	Ўј–» ќ¬	S m anim famn gen sg			а	в	о	к	и	р	S	Ўј–» ќ¬ј	S m anim gen sg	
33322	30	.	.	SENT									SENT	.	SENT	
33323																37
33324	1	 омментатор	 ќћћ≈Ќ“ј“ќ–	S m anim nom sg			р	о	т	а	т	н	S	 ќћћ≈Ќ“ј“ќ–	S m anim nom sg	
33325	2	@	@	PUNC									PUNC	@	PUNC	
33326	3	Ќу	Ќ”	INTJ			у	н					PART	Ќ”	PART	
33327	4	просто	ѕ–ќ—“ќ	PART			о	т	с	о	р	п	PART	ѕ–ќ—“ќ	PART	
33328	5	есть	Ѕџ“№	V ipf praes sg indic - 3p			ь	т	с	е			V	Ѕџ“№	V ipf praes sg indic - 3p	
33329	6	же	∆≈	PART			е	ж					PART	∆≈	PART	
33330	7	очень	ќ„≈Ќ№	ADV -			ь	н	е	ч	о		ADV	ќ„≈Ќ№	ADV -	
33331	8	большое	ЅќЋ№Ўќ…	A - nom sg plen n -			е	о	ш	ь	л	о	A	ЅќЋ№Ўќ…	A - nom sg plen n -	6
33332	9	разделение	–ј«ƒ≈Ћ≈Ќ»≈	S n inan nom sg			е	и	н	е	л	е	S	–ј«ƒ≈Ћ≈Ќ»≈	S n inan nom sg	
33333	10	между	ћ≈∆ƒ”	PR			у	д	ж	е	м		PR	ћ≈∆ƒ”	PR	
33334	11	тем	“ќ	SPRO n - ins sg			м	е	т				S	“ќ	S n - ins sg	
33335	12	:	:	PUNC									PUNC	:	PUNC	
33336	13			_											_	
33337	14	вот	¬ќ“	PART			т	о	в				PART	¬ќ“	PART	
33338	15	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33339	16	знаю	«Ќј“№	V ipf praes sg indic - 1p			ю	а	н	з			V	«Ќј“№	V ipf praes sg indic - 1p	
33340	17	,	,	PUNC									PUNC	,	PUNC	
33341	18	как	 ј 	ADV -			к	а	к				ADV	 ј 	ADV -	
33342	19	нужно	Ќ”∆Ќќ	PRAEDIC -			о	н	ж	у	н		ADV	Ќ”∆Ќќ	ADV -	
33343	20	сейчас	—≈…„ј—	ADV -			с	а	ч	й	е	с	ADV	—≈…„ј—	ADV -	
33344	21			_											_	37
33345	22	<	<	PUNC									PUNC	<	PUNC	
33346	23	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33347	24	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33348	25	=	=	PUNC									PUNC	=	PUNC	
33349	26			_											_	
33350	27	ии	»	CONJ			и	и					S	»я	S f anim loc sg	
33351	28			_											_	
33352	29	>	>	PUNC									PUNC	>	PUNC	
33353	30	и	»	CONJ			и						CONJ	»	CONJ	
33354	31	<	<	PUNC									PUNC	<	PUNC	
33355	32	/	/	PUNC									PUNC	/	PUNC	
33356	33	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33357	34	>	>	PUNC									PUNC	>	PUNC	
33358	35			_											_	
33359	36	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33360	37	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33361	38	задумываюсь	«јƒ”ћџ¬ј“№—я	V ipf praes sg indic act 1p			ь	с	ю	а	в	ы	V	«јƒ”ћџ¬ј“№—я	V ipf praes sg indic - 1p	
33362	39	об	ќЅ	PR			б	о					PR	ќЅ	PR	
33363	40	этом	Ё“ќ	APRO n - loc sg			м	о	т	э			S	Ё“ќ	S n - loc sg	
33364	41	,	,	PUNC									PUNC	,	PUNC	
33365	42	когда	 ќ√ƒј	CONJ			а	д	г	о	к		CONJ	 ќ√ƒј	CONJ	
33366	43	,	,	PUNC									PUNC	,	PUNC	
33367	44	э	Ё	INTJ			э						S	Ё	S - - nonflex nonflex	
33368	45	,	,	PUNC									PUNC	,	PUNC	
33369	46	разговариваю	–ј«√ќ¬ј–»¬ј“№	V ipf praes sg indic act 1p			ю	а	в	и	р	а	V	–ј«√ќ¬ј–»¬ј“№	V ipf praes sg indic - 1p	
33370	47	с	—	PR			с						PR	—	PR	
33371	48	друзь€ми	ƒ–”√	S m anim ins pl			и	м	€	ь	з	у	S	ƒ–”√	S m anim ins pl	
33372	49			_											_	
33373	50	.	.	SENT									SENT	.	SENT	
33374																
33375	1	<	<	PUNC									PUNC	<	PUNC	
33376	2	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33377	3	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33378	4	=	=	PUNC									PUNC	=	PUNC	
33379	5			_											_	
33380	6	“ость	“ќ ≈—“№	S f anim acc sg	distort		ь	т	с	о	т		S	“ќ—“№	S f anim acc sg	
33381	7			_											_	
33382	8	>	>	PUNC									PUNC	>	PUNC	
33383	9	“о есть	“ќ ≈—“№	PART			ь	т	с	е	 	о	-	“о есть	-	
33384	10	<	<	PUNC									PUNC	<	PUNC	
33385	11	/	/	PUNC									PUNC	/	PUNC	
